kombinasi,n_fitur,model,fold,f1_macro,f1_AI,akurasi,presisi_AI,recall_AI,bal_acc,roc_auc
tfidf+bert+perp,3,XGBoost,4,0.9808,0.9809,0.9808,0.9784,0.9833,0.9808,0.9986
tfidf+bert+perp,3,XGBoost,5,0.9749,0.9748,0.9749,0.9814,0.9683,0.9749,0.9977
tfidf+bert+perp,3,CatBoost,1,0.9766,0.9767,0.9766,0.9735,0.98,0.9766,0.9972
tfidf+bert+perp,3,CatBoost,2,0.9833,0.9833,0.9833,0.9866,0.98,0.9833,0.9973
tfidf+bert+perp,3,CatBoost,3,0.9783,0.9785,0.9783,0.972,0.985,0.9782,0.997
tfidf+bert+perp,3,CatBoost,4,0.9833,0.9834,0.9833,0.9817,0.985,0.9833,0.9982
tfidf+bert+perp,3,CatBoost,5,0.9715,0.9716,0.9715,0.9748,0.9683,0.9716,0.9973
sty+tfidf+bert+perp,4,Random Forest,1,0.9732,0.9731,0.9732,0.983,0.9633,0.9733,0.9973
sty+tfidf+bert+perp,4,Random Forest,2,0.9732,0.9731,0.9732,0.983,0.9633,0.9733,0.9962
sty+tfidf+bert+perp,4,Random Forest,3,0.9741,0.9739,0.9741,0.983,0.965,0.9741,0.9961
sty+tfidf+bert+perp,4,Random Forest,4,0.9732,0.9732,0.9732,0.9781,0.9683,0.9733,0.9972
sty+tfidf+bert+perp,4,Random Forest,5,0.9674,0.967,0.9674,0.9811,0.9533,0.9674,0.9969
sty+tfidf+bert+perp,4,XGBoost,1,0.9808,0.9808,0.9808,0.9816,0.98,0.9808,0.9986
sty+tfidf+bert+perp,4,XGBoost,2,0.9849,0.9849,0.9849,0.9932,0.9767,0.985,0.9983
sty+tfidf+bert+perp,4,XGBoost,3,0.9816,0.9816,0.9816,0.9849,0.9783,0.9816,0.9982
sty+tfidf+bert+perp,4,XGBoost,4,0.9841,0.9841,0.9841,0.9866,0.9817,0.9841,0.999
sty+tfidf+bert+perp,4,XGBoost,5,0.9824,0.9824,0.9824,0.9898,0.975,0.9825,0.999
sty+tfidf+bert+perp,4,CatBoost,1,0.9833,0.9834,0.9833,0.9817,0.985,0.9833,0.9984
sty+tfidf+bert+perp,4,CatBoost,2,0.9841,0.9841,0.9841,0.9899,0.9783,0.9841,0.9979
sty+tfidf+bert+perp,4,CatBoost,3,0.9816,0.9816,0.9816,0.9849,0.9783,0.9816,0.9977
sty+tfidf+bert+perp,4,CatBoost,4,0.9858,0.9858,0.9858,0.9866,0.985,0.9858,0.9986
sty+tfidf+bert+perp,4,CatBoost,5,0.9841,0.9841,0.9841,0.9899,0.9783,0.9841,0.9991
